Movie_ID,Title,Overview,Overview_WordCount,Genres,Director,Cast,Production_Company,Release_Date,Release_Year,Release_Month,Release_DayOfWeek,Runtime_Minutes,Budget_Local_Currency,Revenue_Local_Currency,Budget_Crores,Revenue_Crores,Profit_Local_Currency,ROI_Percent,Popularity_Score,Vote_Average,Vote_Count
895033,Don,A youngster who is still figuring out what his passion is gets into an engineering college where he clashes with a disciplinarian faculty.,23,"Comedy, Romance",Cibi Chakaravarthi,"Sivakarthikeyan, Priyanka Arul Mohan, S. J. Suryah, Samuthirakani, Soori",Sivakarthikeyan Productions,12-05-2022,2022,5,Thursday,164,0,0,0,0,0,0,1.1156,6.041,37
633479,Venpa,"Thenavan, a pensive man who constantly rejecting women of his mother’s choice including Sheila. Sheila, sweet dark skinned girl who’s often rejected by guys from matrimony falls in love with Thenavan on first meeting over his comforting gestures. The reason behind Thenavan’s rejections slowly unveiled upon his sighting of Kalyani, his school time love. Kalyani’s arrival back to home country is welcomed with a disaster of her handbag being stolen. Thenavan assists throughout her difficulties and requests an hour of conversation as a return favour. The one hour conversation end up as big turning point for Thenavan, Kalyani and Sheila with the presence of former lover of Kalyani, Sathya.",109,"Drama, Romance",K. Kavi Nanthan,"Yuvaraj Krishnasamy, Agalyah Maniam, Thevaguru Suppiah, Kuben Mahadevan, Mugen Rao",Vadai Productions,19-09-2019,2019,9,Thursday,155,0,0,0,0,0,0,1.1233,9,1
984992,Regina,A simple and naive housewife who is traumatized after losing her husband in a bank robbery embarks on a voyage of vengeance. Will she achieve her target alone and uncover the people behind masks?,34,"Thriller, Crime",Domin D'Silva,"Sunaina, Ananth Nag, Nivas Adithan, Boxer Dheena, Vivek Prasanna",Yellow Bear Production LLP,23-06-2023,2023,6,Friday,117,0,0,0,0,0,0,1.0904,9,1
311166,Maari,"A feared local rowdy, known for his dominance in the streets and pigeon racing, finds himself at odds with a newly appointed police officer. As tensions rise, hidden motives and betrayals unfold, shaking the balance of power in the neighborhood.",40,Action,Balaji Mohan,"Dhanush, Kajal Aggarwal, Vijay Yesudas, Robo Shankar, Kaali Venkat",Magic Frames,17-07-2015,2015,7,Friday,138,0,0,0,0,0,0,0.9852,6.028,54
1016300,Undercover Rascals 2,Venkat works hard to bring down the largest drug empire in the nation. His plan is disrupted when Aditya Sharma is back from prison to seek his revenge.,28,"Action, Drama",V. Nagaraj,"K.K. Khanna, Bala Ganapathi William, K. Karnan G Crak, Thasha Krishnakumar, Rupini Krishnan",Megamovie Sdn bhd,25-08-2022,2022,8,Thursday,111,0,0,0,0,0,0,1.0405,7,1
1188335,Akku,A Sequence of Murder is taking Place surrounding Hero and most importantly the victims are all close to him. Hero is searching the Culprit & Police Inspector also does the same since its his duty. At one point Police focus shift towards the Hero since situation makes Cop to suspect the Hero. Hero argues with Police Inspector and escaped to find the real Culprit. Cop chases Hero & Hero Chases unknown Culprit . We will find out the Twist in Silver Screen whether Cop Catches Hero or Hero identified the Real Culprit.,92,"Thriller, Crime, Horror",Stalin V,"Prajin Padmanabhan, Ventakesh, Gayatri Rema, Ramanathan, Stalin V",Ambigapathi Movie Makers [in],13-10-2023,2023,10,Friday,112,0,0,0,0,0,0,0.93,0,0
1090162,She's No More,This film is dedicated to all the youngsters who have lost their lives,13,"Romance, Drama",Eshwar NE,"Abraham Sasi, Vignesh Manavalan, Jane Doe",North East Films,06-05-2017,2017,5,Saturday,15,0,0,0,0,0,0,1.0377,10,1
368230,Miruthan,"When a zombie outbreak occurs in a hill station, a traffic cop takes on the responsibility of transporting a team of doctors to a city hospital so that they can find an antidote.",33,"Action, Romance, Thriller",Shakti Soundar Rajan,"Ravi Mohan, Lakshmi Menon, Anikha Surendran, Kaali Venkat, Sriman",Global Infotainment,18-02-2016,2016,2,Thursday,106,0,0,0,0,0,0,0.8431,5.232,28
1324027,Moondram Manithan,Moondram Manithan is a Tamil movie starring K. Bhagyaraj and Sonia Agarwal in the lead.,15,Drama,Ramdev,"K. Bhagyaraj, Sonia Agarwal, Brana, Srinath, Soodhu Kavvum Sivakumar",Ramdev Pictures,29-12-2023,2023,12,Friday,141,0,0,0,0,0,0,1.072,0,0
498580,Kanchana 3,A young man who gets easily scared is possessed by a ghost that is seeking revenge.,16,"Horror, Comedy",Raghava Lawrence,"Raghava Lawrence, Kovai Sarala, Vedhika, Nikki Tamboli, Oviya Helen",Sun Pictures,19-04-2019,2019,4,Friday,174,0,0,0,0,0,0,1.0446,4.2,22
631637,Oh My Kadavule,Arjun is conveniently married to his best friend Anu and their marriage turns out to be a nightmare since he is not really in love with her. When things get tough Arjun gets a second chance in life that could change his path and perspective altogether.,46,"Comedy, Romance",Ashwath Marimuthu,"Ashok Selvan, Ritika Singh, Shah Ra, Vani Bhojan, Gajaraj",Axess Film Factory,13-02-2020,2020,2,Thursday,154,0,0,0,0,0,0,0.9497,7.924,46
1157083,Thiru Vi Ka Poonga,A man regains his faith in love after he is cheated on.,12,,Senthil Sel Am,"Senthil Sel Am, Swathi Shanmugam",The Budget Film Company,02-01-2015,2015,1,Friday,119,0,0,0,0,0,0,1.076,0,0
1340332,Black,"Vasanth and Aaranya, a couple move into a serene row house, eager for peace and privacy, but a violent storm leaves them trapped inside, unsettling supernatural disturbances threaten to unravel their marriage. Vasanth must uncover the truth behind these supernatural occurrences before everything falls apart.",45,"Mystery, Thriller, Horror",Balasubramani KG,"Jiiva, Priya Bhavani Shankar, Vivek Prasanna, Shah Ra, Swayam Siddha",Potential Studios,11-10-2024,2024,10,Friday,115,0,0,0,0,0,0,1.2302,6.647,17
1328687,Konjam Pesinaal Yenna,"Sanjana's feelings for her childhood crush Ajay reawaken through virtual interactions. They bond over phone calls during lockdown, forming a connection without traditional labels, but face hurdles in recognizing their emotions.",31,"Comedy, Romance",Giri Murphy,"Vinoth Kishan, Keerthi Pandian, V.J. Ashiq, Kaamna Batra, Gowtham Sundararajan",Super Talkies,24-05-2024,2024,5,Friday,112,0,0,0,0,0,0,0.9939,0,0
438731,Vivegam,"A group of counter-terrorism agents are brought in to track down a man who was once the head of their squad, and is believed to have gone rogue.",28,"Action, Thriller",Siva,"Ajith Kumar, Kajal Aggarwal, Akshara Haasan, Vivek Oberoi, Arav Chowdhary",Sathya Jyothi Films,24-08-2017,2017,8,Thursday,149,1536400000,1670000000,153.64,167,133600000,8.7,1.0981,4.83,56
1189482,Vaazhvu Thodangumidam Neethanae,"A girl from a conservative Muslim family falls in love with another girl, a documentary filmmaker. When the family discovers their relationship, they vehemently oppose it. Can the couple able to navigate these challenges and confronts opposition from their family and society and lead a peaceful life?",47,Drama,Jeyaraj Palani,"Suruthi Periyasamy, Niranjana Neithiar, Arumugavel, Arshath Feras, RJ Pradeep",Esai Pictures,29-09-2023,2023,9,Friday,83,0,0,0,0,0,0,1.1217,0,0
487593,Irumbu Thirai,"Kathiravan, a major in the Indian army with anger management issues, is compelled by circumstances to borrow a loan from a bank with false documents. When the entire money in the account vanishes, Kathiravan tries to track down the scamsters, and it leads him to White Devil, a master hacker.",50,"Action, Thriller",P. S. Mithran,"Arjun Sarja, Vishal Krishna, Samantha Ruth Prabhu, Delhi Ganesh, Robo Shankar",Vishal Film Factory,11-05-2018,2018,5,Friday,160,0,0,0,0,0,0,1.0532,6.837,49
