movie_id,title,imdb_id,overview,genres,director,cast,language,year,rating,votes,runtime_minutes,poster,backdrop,trailer,popularity,budget_crores,revenue_crores,production_company,release_date,source
,54321,,"5 people, 4 different lifestyles, 3 murders, 2 hours, and 1 ultimate revenge—everything unfolds within the walls of a single house. Vinoth, adopted into a loving family, grows up showered with affection, while their biological son, Vikram, is left feeling overshadowed and resentful. Years later, fate brings them together again, giving Vikram the perfect chance to settle his childhood grievances. But as vengeance takes control, the night spirals into a deadly game of betrayal, secrets, and murder.","Thriller, Drama",A Ragavendra Prasad,"Ravi Raghavendra, Rohini, Sanjeevi Hassan, Jayakumar, Pavithra Gowda",Tamil,0,,,,,,,,,,,,dataset_3_tamil
412410,54321,,"5 people, 4 different lifestyles, 3 murders, 2 hours, and 1 ultimate revenge—everything unfolds within the walls of a single house. Vinoth, adopted into a loving family, grows up showered with affection, while their biological son, Vikram, is left feeling overshadowed and resentful. Years later, fate brings them together again, giving Vikram the perfect chance to settle his childhood grievances. But as vengeance takes control, the night spirals into a deadly game of betrayal, secrets, and murder.","Thriller, Drama",A Ragavendra Prasad,"Ravi Raghavendra, Rohini, Sanjeevi Hassan, Jayakumar, Pavithra Gowda",,2016,5.5,2.0,120.0,,,,0.5874,0.0,0.0,Mainstream Productions,26-08-2016,dataset_4
,6 Athiyayam,,6 Athiyayam is an anthology that has 6 stories helmed by 6 different directors. All the stories are based on different genres and are penned in a manner that the movie caters to all the sections of the audience with different artists playing the lead. The stories are correlated and the climax of each story is revealed only in the finale that will keep you on the edge of your seat.,"Horror, Thriller",Ajayan Bala,"Vinoth Kishan, Kishore DS, Thaman Kumar, Cable Shankar, Baby Sathanya",Tamil,0,,,,,,,,,,,,dataset_3_tamil
508217,6 Athiyayam,,6 Athiyayam is an anthology that has 6 stories helmed by 6 different directors. All the stories are based on different genres and are penned in a manner that the movie caters to all the sections of the audience with different artists playing the lead. The stories are correlated and the climax of each story is revealed only in the finale that will keep you on the edge of your seat.,"Thriller, Horror",Ajayan Bala,"Vinoth Kishan, Kishore DS, Thaman Kumar, Cable Shankar, Baby Sathanya",,2018,0.0,0.0,118.0,,,,1.636,0.0,0.0,ASCII Media Hut,23-02-2018,dataset_4
,60 Vayadhu Maaniram,,"An ambitious son sets out to find his missing father, who suffers from memory loss, with the help of two people","Family, Drama",Radha Mohan,"Vikram Prabhu, Prakash Raj, Samuthirakani, Indhuja Ravichandran, Elango Kumaravel",Tamil,0,,,,,,,,,,,,dataset_3_tamil
539811,60 Vayadhu Maaniram,,"An ambitious son sets out to find his missing father, who suffers from memory loss, with the help of two people","Family, Drama",Radha Mohan,"Vikram Prabhu, Prakash Raj, Samuthirakani, Indhuja Ravichandran, Elango Kumaravel",,2018,0.0,0.0,134.0,,,,0.7863,0.0,0.0,V Creations,31-08-2018,dataset_4
,60 Vayadu Maaniram,,"An ambitious son sets out to find his missing father, who suffers from memory loss, with the help of two people.",Drama,Radha Mohan,"Prakash Raj, Vikram Prabhu, Samuthirakani, Indhuja Ravichandran, Bharath Reddy, Sarath",Tamil,0,,,,,,,,,,,,dataset_3_tamil
,7 1/2,,Yeman and chithra guptham coming earth to take one human soul but unfortunately some chain incidents happen and after that they take human soul or what happened next to them,"Comedy, Fantasy",Naveen Venkat,"Finally Bala, Finally Raj, Finally Vanniyarasu, Sriram",Tamil,0,,,,,,,,,,,,dataset_3_tamil
,7 Naatkal,,"The murder of a girl unexpectedly turns the life of two people topsy-turvy. Even as they run for their lives, they try to find the real culprit behind the assassination","Action, Crime, Thriller",V. R. Gautham,"Sakthi Vasu, Ganesh Venkatraman, Nikesha Patel, Prabhu, Angana Roy",Tamil,0,,,,,,,,,,,,dataset_3_tamil
460269,7 Naatkal,,"The murder of a girl unexpectedly turns the life of two people topsy-turvy. Even as they run for their lives, they try to find the real culprit behind the assassination","Action, Crime, Thriller",V. R. Gautham,"Sakthi Vasu, Ganesh Venkatraman, Nikesha Patel, Prabhu, Angana Roy",,2017,4.0,2.0,133.0,,,,0.5248,0.0,0.0,Million Dollar Movies,02-06-2017,dataset_4
991709,7 ¹/²,,Yeman and chithra guptham coming earth to take one human soul but unfortunately some chain incidents happen and after that they take human soul or what happened next to them,"Comedy, Fantasy",Naveen Venkat,"Finally Bala, Finally Raj, Finally Vanniyarasu, Sriram",,2022,0.0,0.0,20.0,,,,0.4708,0.0,0.0,Dream Screen Film Factory,31-12-2022,dataset_4
,7/G,,"Rajiv and Varsha, a couple with a five-year-old son, Rahul, moves to a new flat where Varsha faces paranormal activities. Can Varsha fight against supernatural forces to save their dream house, or she decides to leave her house to save her family?",Horror,N Haroon,"Sonia Agarwal, Smruthi Venkat, Siddharth Vipin, Sneha Gupta, Subramaniam Siva",Tamil,0,,,,,,,,,,,,dataset_3_tamil
1311247,7/G,,"Rajiv and Varsha, a couple with a five-year-old son, Rahul, moves to a new flat where Varsha faces paranormal activities. Can Varsha fight against supernatural forces to save their dream house, or she decides to leave her house to save her family?",Horror,N Haroon,"Sonia Agarwal, Smruthi Venkat, Siddharth Vipin, Sneha Gupta, Subramaniam Siva",,2024,0.0,0.0,140.0,,,,0.5086,0.0,0.0,Dream House (in),05-07-2024,dataset_4
,7G Rainbow Colony 2,,"Nearly 10 years post the tragic death of Anitha, Kathir's ailing mother makes desperate attempts to get him settled after sensing his attraction to the daughter of Flat No.7G's Newest Tenant.","Romance, Drama",Selvaraghavan,"Ravi Krishna, Anaswara Rajan, Suman Shetty, Sonia Agarwal, Sudha",Tamil,0,,,,,,,,,,,,dataset_3_tamil
1324688,7G Rainbow Colony 2,,"Nearly 10 years post the tragic death of Anitha, Kathir's ailing mother makes desperate attempts to get him settled after sensing his attraction to the daughter of Flat No.7G's Newest Tenant.","Romance, Drama",Selvaraghavan,"Ravi Krishna, Anaswara Rajan, Suman Shetty, Sonia Agarwal, Sudha",,2026,0.0,0.0,0.0,,,,1.3237,0.0,0.0,Sri Surya Movies,06-11-2026,dataset_4
